src,dst,weight
6,11,0.6
11,6,0.6
6,13,0.6
13,6,0.6
11,13,0.8
13,11,0.8
1,4,0.6
4,1,0.6
1,0,0.6
0,1,0.6
1,2,0.6
2,1,0.6
1,3,0.6
3,1,0.6
4,0,0.8
0,4,0.8
4,2,0.8
2,4,0.8
4,3,0.6
3,4,0.6
0,2,0.8
2,0,0.8
0,3,0.6
3,0,0.6
2,3,0.6
3,2,0.6
7,8,0.2
8,7,0.2
15,8,0.6
8,15,0.6
15,16,0.6
16,15,0.6
16,8,0.4
8,16,0.4
15,18,0.2
18,15,0.2
15,5,0.2
5,15,0.2
16,18,0.2
18,16,0.2
16,5,0.2
5,16,0.2
18,5,0.2
5,18,0.2
18,8,0.2
8,18,0.2
5,8,0.2
8,5,0.2
7,9,0.2
9,7,0.2
7,15,0.2
15,7,0.2
7,16,0.2
16,7,0.2
7,12,0.2
12,7,0.2
9,15,0.2
15,9,0.2
9,16,0.2
16,9,0.2
9,12,0.2
12,9,0.2
15,12,0.2
12,15,0.2
16,12,0.2
12,16,0.2
14,17,1.0
17,14,0.7142857142857143
14,19,1.0
19,14,1.0
14,10,0.6
10,14,0.6
17,19,0.7142857142857143
19,17,1.0
17,10,0.42857142857142855
10,17,0.6
19,10,0.6
10,19,0.6
4,14,0.2
14,4,0.2
4,17,0.2
17,4,0.14285714285714285
4,19,0.2
19,4,0.2
4,10,0.2
10,4,0.2
6,14,0.4
14,6,0.4
6,17,0.4
17,6,0.2857142857142857
6,19,0.4
19,6,0.4
6,10,0.2
10,6,0.2
