actor_index,movie_index
15,0
1,1
0,2
6,3
11,3
13,3
6,4
11,4
13,4
18,5
7,6
9,7
1,8
4,8
0,8
2,8
3,8
9,9
7,10
8,10
11,11
13,11
15,12
8,12
15,13
16,13
8,13
15,14
16,14
18,14
5,14
8,14
10,15
10,16
17,17
3,18
8,19
1,20
12,21
11,22
17,23
1,24
4,24
0,24
2,24
3,24
4,25
0,25
2,25
5,26
7,27
9,27
15,27
16,27
12,27
14,28
17,28
19,28
10,28
4,29
14,29
17,29
19,29
10,29
6,30
14,30
17,30
19,30
6,31
14,31
17,31
19,31
10,31
14,32
17,32
19,32
5,33
18,34
16,35
13,36
18,37
12,38
9,39
9,40
7,41
18,42
6,43
11,43
13,43
12,44
12,45
7,46
16,47
2,48
5,49
3,50
1,51
4,51
0,51
2,51
3,51
5,52
