movie_index,num_credited_actors,community_id,genre,director_top100_flag
0,1,-1,unknown,0
1,1,-1,unknown,0
2,1,-1,unknown,0
3,3,-1,unknown,0
4,3,-1,unknown,0
5,1,-1,unknown,0
6,1,-1,unknown,0
7,1,-1,unknown,0
8,5,0,Action,1
9,1,-1,unknown,0
10,2,-1,unknown,0
11,2,-1,unknown,0
12,2,-1,unknown,0
13,3,-1,unknown,0
14,5,2,Animation,0
15,1,-1,unknown,0
16,1,-1,unknown,0
17,1,-1,unknown,0
18,1,-1,unknown,0
19,1,-1,unknown,0
20,1,-1,unknown,0
21,1,-1,unknown,0
22,1,-1,unknown,0
23,1,-1,unknown,1
24,5,0,Action,1
25,3,-1,unknown,1
26,1,-1,unknown,0
27,5,2,Animation,0
28,4,-1,unknown,1
29,5,1,Action,1
30,4,-1,unknown,0
31,5,1,Action,1
32,3,-1,unknown,0
33,1,-1,unknown,0
34,1,-1,unknown,0
35,1,-1,unknown,0
36,1,-1,unknown,0
37,1,-1,unknown,0
38,1,-1,unknown,0
39,1,-1,unknown,0
40,1,-1,unknown,0
41,1,-1,unknown,0
42,1,-1,unknown,0
43,3,-1,unknown,0
44,1,-1,unknown,0
45,1,-1,unknown,0
46,1,-1,unknown,0
47,1,-1,unknown,0
48,1,-1,unknown,0
49,1,-1,unknown,0
50,1,-1,unknown,0
51,5,0,Action,1
52,1,-1,unknown,0
