Abrams, J.J.	Mission: Impossible III (2006)
Balda, Kyle	Minions (2015)
Bird, Brad	Mission: Impossible - Ghost Protocol (2011)
Coffin, Pierre	Despicable Me (2010)	Despicable Me 2 (2013)	Despicable Me 3 (2017)
Favreau, Jon	Iron Man (2008)
Jenkins, Patty	Wonder Woman (2017)
Jennings, Garth	Sing (2016)
Liman, Doug	Edge of Tomorrow (2014)
McQuarrie, Christopher	Mission: Impossible - Rogue Nation (2015)	Mission: Impossible - Fallout (2018)	Mission: Impossible - Dead Reckoning Part One (2023)	Jack Reacher (2012)
Russo, Anthony	Captain America: The Winter Soldier (2014)	Avengers: Endgame (2019)
Snyder, Zack	Batman v Superman: Dawn of Justice (2016)	Man of Steel (2013)	Justice League (2017)	Zack Snyders Justice League (2021)
Waititi, Taika	Thor: Ragnarok (2017)
Wan, James	Aquaman (2018)
Whedon, Joss	The Avengers (2012)	Avengers: Age of Ultron (2015)
